Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi_alpha	pinvar	pis[1]	pis[2]	pis[3]	pis[4]	TL
100	-18885.29	-18807.57	-77.71733	5.200955e+07	0.00975813	0.00951267	0.00675638	0.0143602	0.00445099	0.0037609	0.00713746	0.00565447	0.00320423	0.00104342	0.00782408	0.00590727	0.0120353	0.016153	0.00639117	0.0149571	0.00989219	0.00581767	0.00385876	0.00200674	0.00113609	0.00777557	0.0148362	0.0133528	0.00812416	0.000898511	5.22939e-05	0.00065807	0.00119889	0.00738358	0.00487209	0.00199183	0.0013351	0.000886363	0.000288596	0.00119906	0.00059647	0.00395654	0.00132037	0.00124235	0.00410554	0.000680486	0.00204287	0.00106974	0.00350065	0.999824	0.999954	1.00005	1.00018	0.2358523	3.740507e-06	0.00745563	0.220359	0.779641	0.992544	0.2349864
110	-18874.37	-18796.74	-77.63669	4.030859e+07	0.0100108	0.00928745	0.00689875	0.0132122	0.00377602	0.00308543	0.00557234	0.00688199	0.00320423	0.00118096	0.00672672	0.00515473	0.0119465	0.016469	0.00546448	0.0150665	0.00776458	0.00568472	0.00505355	0.00215336	0.00154979	0.00762072	0.0162523	0.0144851	0.00812416	0.0011865	7.02576e-05	0.00103453	0.000236103	0.00554612	0.00354153	0.00195846	0.00147975	0.000724228	0.000696888	0.000826789	0.000312888	0.0049588	0.000661596	0.00142113	0.00305223	0.000421885	0.00174816	0.000917205	0.00350065	0.9998	0.999949	1.00005	1.0002	0.2358523	3.740507e-06	0.00745563	0.220359	0.779641	0.992544	0.226922
120	-18845.78	-18768.3	-77.48046	5.777277e+07	0.00945378	0.00895864	0.00591106	0.0129412	0.00407176	0.00289549	0.00531043	0.00512041	0.00273406	0.000993124	0.00638914	0.00482049	0.0114067	0.0162447	0.005377	0.0149059	0.00724721	0.00454612	0.0036888	0.00241527	0.00162228	0.00790899	0.0151472	0.0129226	0.00719275	0.00115001	5.53916e-05	0.000673555	0.00067724	0.00689295	0.00263837	0.00186214	0.00145936	0.000590777	0.000183626	0.00092975	0.000356354	0.00374007	0.00110189	0.000964295	0.00236267	0.000595465	0.00142224	0.00125441	0.00315293	0.999833	0.999957	1.00004	1.00017	0.2259553	3.740507e-06	0.00639789	0.214625	0.785375	0.993602	0.2122887
130	-18839.83	-18762.49	-77.33735	6.657557e+07	0.00907987	0.00798666	0.00588945	0.0111453	0.00410857	0.0030143	0.00506092	0.00605495	0.00250999	0.000852062	0.00638914	0.0048059	0.0114067	0.0143854	0.00557289	0.0127695	0.00699982	0.00398204	0.00414643	0.00243955	0.00165069	0.00678103	0.0109927	0.0138509	0.00719275	0.000691458	1.56886e-05	0.000735522	0.00074308	0.00602035	0.00282992	0.00176692	0.000877893	0.00119514	0.000322452	0.000386804	0.000205265	0.00350029	0.000917091	0.00132406	0.00243099	0.00039103	0.00185267	0.00150903	0.0020133	0.999844	0.999961	1.00004	1.00016	0.2177666	3.740507e-06	0.00558054	0.209694	0.790306	0.994419	0.1987966
140	-18845.94	-18768.57	-77.36884	8.462967e+07	0.00879629	0.00824263	0.00530916	0.0106402	0.00410272	0.00328825	0.00483267	0.0051945	0.00281404	0.000876446	0.00664605	0.00488579	0.0115817	0.0145703	0.00566463	0.0132521	0.00829557	0.00389675	0.00389918	0.00246353	0.00174886	0.0074225	0.0121457	0.0113555	0.00654093	0.000532931	7.76486e-05	0.0002478	0.0011792	0.00687767	0.00425912	0.00122217	0.00106412	0.00061114	0.000488606	0.0010423	0.000218466	0.0037352	0.000917091	0.00163521	0.00314169	0.000534965	0.00151691	0.0013399	0.0028375	0.999862	0.999964	1.00004	1.00014	0.2177666	3.740507e-06	0.00558054	0.209694	0.790306	0.994419	0.2019457
150	-18826.6	-18749.42	-77.18344	8.722233e+07	0.00785832	0.00834184	0.00576703	0.0109551	0.0039358	0.00276387	0.00385492	0.0038467	0.00272179	0.000978097	0.00664605	0.00413968	0.0108275	0.0120716	0.00433582	0.0122102	0.00713726	0.00387249	0.00403784	0.00164777	0.00117907	0.00633466	0.0122873	0.0113555	0.00654093	0.000913587	9.6248e-05	0.000194345	0.00113133	0.00529732	0.00302367	0.00110152	0.000824742	0.000502634	0.000437929	0.000565964	0.00051733	0.0032691	0.000985496	0.000955555	0.00283793	0.00037665	0.00157036	0.00148016	0.00184111	0.999864	0.999966	1.00003	1.00014	0.2161243	3.740507e-06	0.00542313	0.208684	0.791316	0.994577	0.1835702
160	-18810.19	-18733.17	-77.01781	9.867745e+07	0.00722334	0.00596104	0.00517824	0.00876381	0.00354511	0.00253022	0.00423205	0.00417513	0.00231899	0.000754509	0.00564993	0.00337177	0.00971411	0.0132666	0.00395977	0.00983359	0.00556199	0.00375509	0.00336717	0.00178692	0.00104928	0.00550259	0.0112924	0.00990945	0.00660567	0.000799944	0.000310297	0.000429961	0.00077676	0.0053482	0.00269261	0.00142928	0.00123084	0.000589225	0.000353298	0.000990907	0.000477397	0.00351052	0.000691454	0.00100823	0.00268787	0.000372737	0.00137106	0.00172847	0.00166357	0.999872	0.999967	1.00003	1.00013	0.2084804	3.740507e-06	0.00472001	0.203889	0.796111	0.99528	0.1677714
170	-18814.14	-18737.09	-77.04724	7.389413e+07	0.00722334	0.00685448	0.00420623	0.0102536	0.00431002	0.0019705	0.00417353	0.00411729	0.00235284	0.000768617	0.00588745	0.00331168	0.00890913	0.0128102	0.00463023	0.0113614	0.00649775	0.00352542	0.00352979	0.00206637	0.000940743	0.00574678	0.0112924	0.0102197	0.00660567	0.00101943	4.19834e-05	0.000543835	0.000861638	0.00501088	0.00262881	0.0012735	0.00123084	0.000906813	0.000620734	0.000876465	0.000212623	0.0030175	0.000913065	0.000410594	0.00257338	0.000294337	0.00115957	0.00133514	0.00221881	0.999852	0.999962	1.00004	1.00015	0.2084804	3.740507e-06	0.00472001	0.203889	0.796111	0.99528	0.1707151
180	-18813.49	-18736.46	-77.02841	9.110838e+07	0.00731675	0.0065296	0.00451738	0.00910666	0.00365849	0.00213189	0.00434923	0.00412625	0.00235284	0.000653747	0.00556964	0.00340491	0.00993486	0.0128183	0.00372843	0.0112603	0.00703176	0.00402661	0.00367426	0.00166151	0.00111907	0.00633134	0.0112831	0.0108816	0.00574681	0.00108922	4.26967e-06	0.000520144	0.000400194	0.00503904	0.00262712	0.00127153	0.00101978	0.000727929	0.000265341	0.000680073	0.000391029	0.00295658	0.00102006	0.000995008	0.0019104	0.000686435	0.000978021	0.000792596	0.00224143	0.999867	0.999966	1.00003	1.00013	0.2084804	3.740507e-06	0.00472001	0.203889	0.796111	0.99528	0.1688315
190	-18805.39	-18728.43	-76.96283	7.624134e+07	0.00722849	0.00650988	0.00515253	0.00919206	0.00343311	0.00236421	0.00437131	0.00412625	0.00203528	0.000886334	0.00597662	0.0039882	0.00960788	0.0117329	0.00372518	0.0106186	0.00537871	0.00323109	0.00350871	0.00228572	0.00128792	0.004877	0.0106383	0.0108816	0.00480318	0.000770252	1.54482e-06	0.000621497	0.000656863	0.0048435	0.00242166	0.00127025	0.00112979	0.000664718	0.000228351	0.000387706	0.000288104	0.00369737	0.000472948	0.000989424	0.00225956	0.000336728	0.000629551	0.00128164	0.00148142	0.999855	0.999963	1.00004	1.00015	0.2084804	3.740507e-06	0.00472001	0.203889	0.796111	0.99528	0.1622739
