Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi_alpha	pinvar	pis[1]	pis[2]	pis[3]	pis[4]	TL
880	-18746.01	-18682.76	-63.2473	2.584786e+07	0.00322691	0.00339745	0.00233038	0.00530803	0.00180154	0.00107181	0.00133921	0.00164118	0.000953588	0.000306885	0.00232673	0.00132208	0.00444497	0.00601569	0.00165151	0.00567309	0.00229863	0.00156458	0.00168056	0.000745222	0.000377836	0.0030723	0.00544324	0.00490738	0.00252655	0.000469772	0.000323631	0.000279561	0.000202682	0.0025195	0.0011482	0.000527219	0.000551047	1.53272e-05	0.000225583	0.00013191	0.000100441	0.00183008	0.00045453	0.000420653	0.00131408	0.000344186	0.00107114	0.000708862	0.000874925	0.99975	0.999936	1.00006	1.00025	0.1722415	1.558895e-05	0.00208169	0.178908	0.821092	0.997918	0.07894066
890	-18736.7	-18673.48	-63.22339	3.047888e+07	0.00341111	0.00326468	0.00221355	0.00448267	0.00144826	0.0011383	0.0014404	0.00194897	0.00129133	0.000428728	0.00244877	0.00132208	0.00435674	0.00591732	0.00181903	0.00520328	0.0024257	0.00158554	0.00155604	0.000662667	0.000389878	0.00203686	0.00595187	0.00504931	0.00254134	0.000301645	0.000306732	0.000279561	0.000206146	0.00236616	0.00136929	0.000465057	0.000386215	2.56656e-06	0.000292178	0.000254453	0.00013466	0.00162803	0.000351421	0.000300466	0.00113612	0.000214095	0.00102499	0.000441066	0.000740327	0.99977	0.999941	1.00006	1.00023	0.1723834	1.558895e-05	0.00208972	0.179014	0.820986	0.99791	0.07653562
900	-18728.43	-18665.2	-63.23002	2.575984e+07	0.00389169	0.0030202	0.00205086	0.00445061	0.00181662	0.000866715	0.00146598	0.00178586	0.00110262	0.000339314	0.00251914	0.00148855	0.00470376	0.00590656	0.00148914	0.00507571	0.00265679	0.00156218	0.00152168	0.000860213	0.000632873	0.00265296	0.0056603	0.00519919	0.00277918	0.000397707	0.000102217	0.000237588	0.000181305	0.00235758	0.00110148	0.000521782	0.000358939	2.23216e-05	0.00028122	0.00035356	9.4479e-05	0.00139039	0.000333529	0.000466276	0.00116069	0.000165765	0.000951676	0.000367529	0.000831988	0.99975	0.999936	1.00006	1.00025	0.1726056	1.558895e-05	0.00210233	0.179179	0.820821	0.997898	0.07717674
910	-18741.38	-18681.97	-59.41062	2.420251e+07	0.00349204	0.0033158	0.00233887	0.00418535	0.00162571	0.00104108	0.00146418	0.00160975	0.00120643	0.000598122	0.00193024	0.00135448	0.00439194	0.00604114	0.0018132	0.00560354	0.00258633	0.00152918	0.00160782	0.000825867	0.000549817	0.00271042	0.00530328	0.00510483	0.00289956	0.000248808	0.000115504	0.000256956	0.000491745	0.00222052	0.00123516	0.000609596	0.000596207	1.63362e-05	0.000162065	0.000307769	0.000225502	0.00168075	0.000479831	0.000315601	0.00102624	0.00024101	0.000935834	0.000597871	0.000844101	0.999742	0.999934	1.00007	1.00026	0.1725274	2.384469e-05	0.00209788	0.179121	0.820879	0.997902	0.07773639
920	-18739.26	-18678.41	-60.84843	3.195492e+07	0.00374307	0.00298834	0.00185625	0.00458164	0.00191834	0.000869687	0.00135056	0.00166492	0.00123791	0.000598122	0.00244102	0.00153335	0.00380254	0.00524404	0.00177556	0.00546166	0.00298965	0.00135579	0.00165806	0.000987319	0.000523138	0.00259631	0.00513358	0.0048535	0.00253494	0.000254568	0.000147704	0.000262612	0.00026429	0.00242846	0.00110341	0.000397116	0.000360837	4.18748e-05	0.000166383	0.00042329	0.000116113	0.00163244	0.000345947	0.000441176	0.00138214	0.000198214	0.000862719	0.000543876	0.000929822	0.999775	0.999942	1.00006	1.00022	0.1730887	2.028613e-05	0.00212989	0.179537	0.820463	0.99787	0.07600227
930	-18745.32	-18684.46	-60.86796	2.476242e+07	0.00354507	0.00338441	0.00204952	0.00445964	0.00151562	0.00106955	0.00161056	0.00191415	0.000824526	0.000430998	0.00246808	0.00146943	0.00476606	0.00560613	0.00205444	0.00576442	0.00297869	0.00137763	0.00167618	0.000821698	0.000430422	0.00277368	0.00475821	0.00476344	0.00223471	0.00032961	0.000269804	0.00018648	0.00042894	0.00243625	0.00139949	0.000532032	0.000451965	7.99799e-05	8.44622e-05	0.000136894	0.000291147	0.00137155	0.000560469	0.000431939	0.00137946	0.000131327	0.000974481	0.000602705	0.000840106	0.999745	0.999935	1.00007	1.00026	0.1759807	2.028613e-05	0.00229931	0.181666	0.818334	0.997701	0.07766637
940	-18742.11	-18681.22	-60.88845	2.9305e+07	0.00354761	0.0036733	0.00216603	0.00443652	0.00191943	0.00093511	0.00135254	0.00187956	0.000954049	0.000367034	0.00258342	0.00161544	0.00445418	0.00563634	0.00172729	0.00604693	0.00289619	0.00137576	0.00143543	0.000875298	0.000515005	0.00267025	0.00604834	0.00538326	0.002792	0.000303913	6.79387e-05	0.00031615	0.000278006	0.00271318	0.00105924	0.000597007	0.000473084	9.45689e-05	0.00026842	0.000224226	4.09553e-05	0.0015511	0.000577912	0.000462332	0.00120493	0.000264829	0.000795017	0.000414671	0.000892078	0.999765	0.99994	1.00006	1.00023	0.1742733	2.028613e-05	0.00219837	0.180412	0.819588	0.997802	0.07988586
950	-18748.64	-18687.62	-61.01887	3.254071e+07	0.00361873	0.00348429	0.00222514	0.00441681	0.00185854	0.0010102	0.00145587	0.00167149	0.00118198	0.000400879	0.00296101	0.00176462	0.00442663	0.00517492	0.00220557	0.00646494	0.00319401	0.00166082	0.00195157	0.000888178	0.000571906	0.00284239	0.00493181	0.00537788	0.00335059	0.000271257	0.000161532	0.000224828	0.000533883	0.00270656	0.00134276	0.000801123	0.000428589	0.000176085	0.000275629	0.000222703	0.000171967	0.00175749	0.000299799	0.000483685	0.00116458	0.000270402	0.00126614	0.000758206	0.00114422	0.999777	0.999943	1.00006	1.00022	0.176315	2.008043e-05	0.00231938	0.18191	0.81809	0.997681	0.08355221
960	-18745.47	-18683.36	-62.1118	4.165134e+07	0.00364371	0.00358513	0.00208406	0.00500366	0.00223141	0.00125338	0.00177838	0.00176123	0.00116717	0.00026492	0.00270572	0.00191223	0.00470425	0.00702462	0.00194137	0.00562209	0.0029358	0.00166082	0.00163748	0.000938399	0.000696738	0.00340261	0.00623864	0.00598233	0.00321417	0.000366177	0.00040253	0.00028046	0.000424611	0.00260227	0.00139331	0.000639755	0.000530603	1.42316e-05	8.56725e-05	0.000364036	0.000308835	0.00156299	0.000467129	0.000325533	0.0010959	0.00031234	0.000596518	0.000720265	0.000930141	0.999803	0.99995	1.00005	1.0002	0.1773098	1.785068e-05	0.00237971	0.182636	0.817364	0.99762	0.08681362
970	-18738.45	-18676.36	-62.09331	2.899932e+07	0.00357449	0.00346902	0.00244976	0.00475667	0.00180415	0.000973574	0.00135894	0.00186393	0.00106964	0.000283108	0.00282385	0.00152341	0.00504359	0.00700966	0.00220444	0.00653636	0.00323419	0.00169582	0.00170221	0.000807721	0.00068299	0.00297655	0.0058521	0.00511454	0.00310751	0.000457285	0.000202088	0.000299086	0.000181618	0.00284568	0.00116919	0.000616727	0.000430011	2.43779e-05	0.000193498	0.000217567	0.000111852	0.00135489	0.000434575	0.000424972	0.00131042	0.000204345	0.000903296	0.000787855	0.00097533	0.999764	0.99994	1.00006	1.00024	0.1763301	1.785068e-05	0.00232029	0.181921	0.818079	0.99768	0.08506287
980	-18737.7	-18675.57	-62.12493	3.847507e+07	0.00418097	0.0036951	0.00230768	0.00518727	0.00213584	0.00112493	0.00162774	0.00212904	0.00125286	0.000420796	0.00287222	0.00184302	0.00509664	0.00771464	0.00218736	0.00598963	0.00311705	0.00170929	0.00192537	0.00092563	0.000441456	0.003165	0.00618452	0.00600255	0.00342575	0.000478451	0.000160769	0.000365325	0.000421255	0.00269812	0.00121078	0.000565272	0.000434622	3.17604e-05	0.00028813	0.000248976	0.00018701	0.0016758	0.000490095	0.000401647	0.00151149	0.000136485	0.000807693	0.000752411	0.0010975	0.999795	0.999948	1.00005	1.0002	0.1767505	1.78992e-05	0.00234568	0.182228	0.817772	0.997654	0.09062594
990	-18746.05	-18686.8	-59.24714	3.177104e+07	0.00429919	0.00357356	0.0026049	0.00477375	0.00169153	0.00128405	0.00200049	0.00202236	0.000901232	0.000420796	0.00286453	0.00199237	0.00468048	0.00660965	0.00219402	0.00589664	0.00290271	0.00158892	0.00219971	0.000939224	0.000681005	0.00276341	0.00621786	0.0057618	0.00342575	0.000374192	0.000275487	0.000378207	0.000262674	0.0028187	0.00141513	0.000683631	0.000421251	4.22874e-05	0.000187221	0.000193611	0.000591819	0.00230902	0.000296076	0.000659353	0.00151127	0.000167201	0.00108135	0.000667732	0.00104003	0.999774	0.999942	1.00006	1.00023	0.179104	2.462378e-05	0.00249079	0.183936	0.816063	0.997509	0.0896662
1000	-18750.14	-18687.76	-62.3789	3.024742e+07	0.00468808	0.0038679	0.00250434	0.00560238	0.00215286	0.00122557	0.00145354	0.00204006	0.00144436	0.000346826	0.00286412	0.00168903	0.00536123	0.00646122	0.00247258	0.00556701	0.00297892	0.00158892	0.00238182	0.000898111	0.000593933	0.00320645	0.00678499	0.00676707	0.00366803	0.000421163	0.000109037	0.000329292	0.000189326	0.00310394	0.00158616	0.000718698	0.000473387	0.000133215	0.000172097	0.000325518	0.000392514	0.00132058	0.000347276	0.000473122	0.00125113	0.000243646	0.000948663	0.00066933	0.00123588	0.999769	0.999941	1.00006	1.00023	0.180326	1.74551e-05	0.00256812	0.184817	0.815183	0.997432	0.09305334
1010	-18745.29	-18686.53	-58.76001	2.265716e+07	0.00362659	0.00390757	0.00280283	0.00547576	0.00208563	0.000981764	0.00165398	0.0019488	0.00115953	0.000529433	0.00274295	0.00183685	0.00521604	0.00680727	0.00244607	0.00599412	0.00338416	0.00184464	0.002235	0.00106904	0.000694602	0.00309684	0.00643468	0.00571727	0.00300041	0.000422287	0.000110572	0.000195075	0.000544542	0.00277683	0.00116797	0.000291917	0.00033849	0.000252096	0.000216386	0.000219729	0.00035638	0.00195118	0.000460083	0.000534877	0.00154946	0.000165551	0.00117149	0.000709395	0.00123588	0.999733	0.999932	1.00007	1.00027	0.1784347	2.604042e-05	0.00244901	0.183452	0.816548	0.997551	0.09136202
1020	-18757.39	-18696.18	-61.20653	1.697384e+07	0.00453361	0.00310388	0.00234473	0.00508715	0.00183807	0.00120797	0.00131982	0.00221815	0.00131326	0.000432411	0.00308666	0.00176865	0.00483582	0.00638987	0.0019927	0.00588811	0.0029522	0.00170582	0.00169488	0.000722218	0.000382093	0.00352791	0.00625741	0.00587462	0.00254278	0.000465147	0.000262268	0.000237305	0.000233479	0.00292832	0.0011554	0.000352793	0.000275645	0.000262875	0.000197582	0.000451103	0.00015272	0.00146551	0.000567029	0.000633184	0.00152098	0.000414966	0.000885572	0.00072181	0.00130429	0.999692	0.999921	1.00008	1.00031	0.1790061	1.975863e-05	0.00248465	0.183866	0.816134	0.997515	0.08750877
1030	-18740.46	-18676.3	-64.15603	2.060421e+07	0.00456655	0.00355153	0.00238985	0.00536511	0.00223956	0.00126239	0.00182042	0.00206613	0.00123082	0.000363308	0.0030328	0.00185315	0.00551871	0.00676564	0.00226914	0.00650562	0.00321817	0.00184072	0.00182997	0.00111986	0.000790836	0.00297031	0.0068861	0.00670804	0.00325604	0.000282583	0.000168323	0.000403955	0.000382605	0.00329201	0.00162392	0.000709671	0.000462347	2.64707e-05	8.15339e-05	0.000250543	0.000285401	0.00173124	0.00046031	0.000522731	0.00152548	0.000274301	0.00121239	0.000592394	0.00134199	0.99972	0.999929	1.00007	1.00028	0.1785838	1.435639e-05	0.00245828	0.18356	0.81644	0.997542	0.09505095
1040	-18753.4	-18689.28	-64.12438	1.375035e+07	0.00418615	0.0033221	0.00263271	0.00507984	0.0019857	0.00116844	0.00157425	0.00247545	0.00118225	0.0005669	0.00337555	0.00208515	0.00597828	0.00765505	0.00191569	0.00526768	0.00291374	0.00217784	0.00190537	0.000910236	0.000539731	0.00255998	0.00557002	0.00597382	0.00356066	0.000459491	0.000288988	0.000350974	0.000551191	0.0027575	0.00160407	0.000721799	0.000446711	3.21001e-05	0.000109582	0.000181657	0.000312927	0.00212219	0.00046031	0.000315899	0.00133165	0.000160758	0.00122318	0.000681118	0.00122504	0.999657	0.999912	1.00009	1.00034	0.178442	1.435639e-05	0.00244947	0.183458	0.816542	0.997551	0.09189972
1050	-18756.12	-18698.66	-57.45971	1.470111e+07	0.00451855	0.0032533	0.00262967	0.00604793	0.00184873	0.00147258	0.00215189	0.00235244	0.000932295	0.000562269	0.0031864	0.0022149	0.00599853	0.00671936	0.0021712	0.00670133	0.00339034	0.00213949	0.00175765	0.000840342	0.000762351	0.00297961	0.00690115	0.00586934	0.00358641	0.000317388	0.000142332	0.000350974	0.000326929	0.00266258	0.00162505	0.000444101	0.000205605	1.62399e-05	0.000239163	0.000295337	0.000427031	0.00202804	0.000247875	0.000431722	0.0010953	0.000165919	0.00116494	0.000789185	0.00116626	0.999668	0.999915	1.00008	1.00033	0.1793208	3.021738e-05	0.00250441	0.184093	0.815907	0.997496	0.09513003
1060	-18743.9	-18686.27	-57.63023	1.639666e+07	0.00445972	0.00377294	0.00264025	0.0051392	0.00183288	0.000901207	0.00192709	0.00212124	0.00130478	0.000378413	0.00280303	0.0019245	0.00560579	0.00683134	0.00197531	0.00596181	0.00312825	0.00170625	0.00200939	0.000780705	0.000723361	0.00317681	0.00613173	0.0059739	0.00327408	0.000545925	0.000223215	0.000478718	0.0004215	0.00280689	0.001355	0.000797978	0.000359407	0.000110908	8.20675e-05	0.000417925	0.000496672	0.00159314	0.000419852	0.000440531	0.00152247	0.000145347	0.00137525	0.000612888	0.000834451	0.999686	0.99992	1.00008	1.00031	0.1793414	2.953174e-05	0.00250571	0.184108	0.815892	0.997494	0.09152412
1070	-18740.54	-18682.41	-58.12172	1.897665e+07	0.00396166	0.00352963	0.00230545	0.00557129	0.00231999	0.00123605	0.00140251	0.00213683	0.00113301	0.000515843	0.00273746	0.00195841	0.00524409	0.00674037	0.00242205	0.00651407	0.00306575	0.00155747	0.00186718	0.000957385	0.000489856	0.00277534	0.00586337	0.00539385	0.00369607	0.000336734	0.000259825	0.000318024	0.0004215	0.00282164	0.00132054	0.000426061	0.00053066	1.94223e-05	0.000166224	0.000368513	0.000328536	0.00179937	0.000407364	0.000506439	0.00140431	0.000130406	0.000949764	0.000745886	0.00098682	0.999708	0.999926	1.00007	1.00029	0.1791311	2.790318e-05	0.00249249	0.183956	0.816044	0.997507	0.08964303
1080	-18744.94	-18681.48	-63.4595	2.479893e+07	0.00369574	0.00341799	0.00234239	0.00583895	0.00154209	0.00107925	0.00175663	0.00197305	0.000916482	0.000513975	0.00253764	0.00158326	0.00450165	0.00678642	0.00204669	0.00578198	0.00335738	0.00183587	0.00182832	0.0011027	0.00062236	0.0031984	0.00624749	0.00523367	0.00269053	0.000419926	0.0001611	0.000531293	0.000529465	0.00248593	0.00146241	0.000614088	0.000423345	6.19204e-05	0.000183313	0.000203666	0.000340166	0.00171485	0.00052632	0.000353745	0.00152917	0.000341282	0.000817259	0.000600178	0.0012878	0.999745	0.999935	1.00007	1.00026	0.1769642	1.537102e-05	0.00235865	0.182384	0.817616	0.997641	0.08701814
1090	-18738.73	-18675.26	-63.46873	2.272555e+07	0.00404827	0.00373541	0.00236678	0.00492977	0.00198227	0.000906273	0.00161136	0.00227207	0.00107721	0.00040732	0.00255973	0.00200615	0.00449028	0.00695288	0.00196924	0.00537435	0.00309211	0.00189598	0.00183577	0.000965204	0.000670647	0.00297518	0.00625792	0.00648909	0.00329724	0.000343251	4.55383e-06	0.000294338	0.000330189	0.00303926	0.00156664	0.000513441	0.000457638	0.000265299	0.000107914	0.000212531	0.000358645	0.00150221	0.000391054	0.000298247	0.00120198	0.000187559	0.000986363	0.000494666	0.0011278	0.999733	0.999932	1.00007	1.00027	0.1778598	1.537102e-05	0.00241345	0.183035	0.816964	0.997587	0.08785209
1100	-18743.6	-18683.55	-60.04835	2.766902e+07	0.00420223	0.00362945	0.00259539	0.0050224	0.002245	0.00117005	0.00177726	0.00223651	0.00120634	0.000317832	0.00274473	0.00172808	0.00509345	0.00667593	0.00200144	0.00569481	0.00329158	0.00176046	0.00164301	0.000918799	0.000498914	0.00306234	0.00625792	0.00593057	0.00284932	0.00048493	8.79748e-07	0.000491898	0.000351703	0.00297248	0.000985027	0.000487081	0.000460983	0.000136005	0.000193171	0.000156821	0.000367166	0.00203525	0.000385214	0.000444436	0.00179255	0.000202041	0.00114858	0.00072231	0.00108027	0.999758	0.999938	1.00006	1.00024	0.1784212	2.251934e-05	0.00244817	0.183443	0.816557	0.997552	0.08945264
1110	-18748.4	-18686.12	-62.28655	3.259261e+07	0.00397273	0.00360342	0.00229758	0.00507885	0.00192601	0.00124488	0.00161715	0.00263915	0.000875544	0.000485148	0.00284615	0.00184397	0.00481095	0.00636074	0.00277524	0.00595631	0.00347629	0.00159722	0.0017295	0.000974355	0.000526566	0.00257866	0.00679823	0.00651386	0.00298608	0.000336953	7.47928e-06	0.000234088	0.00029626	0.00279195	0.00176076	0.000414572	0.000419949	0.00014693	7.7506e-05	0.000360155	0.000524586	0.00210463	0.000331491	0.000341541	0.00152419	0.000246052	0.00103704	0.000803581	0.00109374	0.999777	0.999943	1.00006	1.00022	0.1786824	1.757938e-05	0.00246442	0.183632	0.816368	0.997536	0.09036803
1120	-18743.56	-18684.41	-59.14772	3.225882e+07	0.00402125	0.00329867	0.00261764	0.00469515	0.00183703	0.0012199	0.00159604	0.00189374	0.00104859	0.00044013	0.00270455	0.00147494	0.00414079	0.00596273	0.00174163	0.00605215	0.00335768	0.00183704	0.00163456	0.000857691	0.000506079	0.00296914	0.0055269	0.005056	0.00285401	0.000457026	6.71743e-05	0.000283643	0.000669869	0.00220941	0.00153993	0.000579616	0.000421944	0.000353972	0.00017972	0.000295725	0.000292933	0.00131319	0.000342768	0.000451633	0.00131834	0.000293639	0.00101364	0.000803581	0.00114912	0.999776	0.999943	1.00006	1.00022	0.1780357	2.472111e-05	0.0024243	0.183163	0.816837	0.997576	0.08338091
1130	-18738.17	-18679.66	-58.5059	3.046302e+07	0.00420061	0.00335104	0.00248986	0.00484109	0.00178704	0.00117856	0.00177854	0.00212683	0.00120376	0.000336363	0.00288645	0.00163112	0.00548555	0.00686524	0.00205697	0.00538855	0.00363912	0.00169825	0.00165346	0.000786145	0.00053188	0.00294652	0.00575408	0.00561866	0.00339731	0.000360886	9.53545e-05	0.000295057	0.000228299	0.00245824	0.00135968	0.000663497	0.000348618	0.000297291	0.000205136	0.000422842	0.00033536	0.00168973	0.000574905	0.00034851	0.00155191	0.000202519	0.00105874	0.00058794	0.000874945	0.99977	0.999941	1.00006	1.00023	0.1776196	2.667178e-05	0.00239869	0.182861	0.817139	0.997601	0.08759246
1140	-18735.56	-18676.66	-58.90074	3.368595e+07	0.00382786	0.0033109	0.00241673	0.00512295	0.0017628	0.000975482	0.00142958	0.00208239	0.00110695	0.000332596	0.00292261	0.00143309	0.00485598	0.00597256	0.00250368	0.00598215	0.00289802	0.00173598	0.00199909	0.000810072	0.000566527	0.00253693	0.00611182	0.00532015	0.00257095	0.00031899	4.68944e-06	0.000227317	0.000323672	0.00266892	0.00126148	0.000533195	0.000430365	0.000418423	0.00018112	0.000293934	0.000277118	0.00163023	0.000303977	0.000471722	0.00138923	0.000195129	0.00106579	0.000607573	0.000841627	0.999781	0.999944	1.00006	1.00022	0.1776196	2.542615e-05	0.00239869	0.182861	0.817139	0.997601	0.08403235
1150	-18752.99	-18694.03	-58.95914	3.315996e+07	0.00408323	0.003482	0.00246694	0.00464083	0.00198452	0.00127451	0.001825	0.00213121	0.00115152	0.000369461	0.00248713	0.00143883	0.0045965	0.0080354	0.0022308	0.0059965	0.00329607	0.00175615	0.00148275	0.000911085	0.000677681	0.00340764	0.00589255	0.00605987	0.00334742	0.00031525	0.000161708	0.000327045	0.000326804	0.00307045	0.00154228	0.000576745	0.000430365	2.95657e-05	0.000301756	0.000270823	0.000495385	0.00134701	0.000410518	0.000494605	0.00151226	0.000275539	0.00103	0.00110613	0.000916105	0.999779	0.999944	1.00006	1.00022	0.1766832	2.542615e-05	0.00234161	0.182179	0.817821	0.997658	0.08996595
1160	-18752.22	-18694.35	-57.87133	4.283249e+07	0.00419828	0.0036601	0.00284137	0.00520243	0.00175093	0.00141634	0.00157873	0.00213121	0.00146663	0.000382603	0.00331077	0.00193128	0.00479038	0.00709935	0.00226518	0.0066438	0.00299191	0.00178182	0.00222847	0.00102753	0.000758775	0.0032892	0.00770798	0.00662906	0.00337399	0.000462365	0.000284246	0.000387748	0.000289696	0.00260193	0.00130935	0.000867082	0.000409521	0.000206015	0.000123629	0.000238795	0.000387907	0.00176573	0.000518749	0.000448514	0.00149442	0.000199844	0.000908848	0.000753814	0.0010038	0.999806	0.999951	1.00005	1.00019	0.1794902	2.886668e-05	0.00251508	0.184215	0.815785	0.997485	0.09512013
1170	-18754.68	-18687.52	-67.15437	3.311374e+07	0.00428383	0.00409673	0.00223558	0.00548912	0.00159516	0.00115717	0.00160842	0.00183089	0.00145829	0.000335075	0.00304475	0.00195566	0.00578284	0.00693287	0.00259748	0.00638399	0.00359576	0.00188054	0.00170965	0.0011093	0.000924892	0.0035985	0.00659903	0.00617017	0.00368916	0.000318621	9.53991e-05	0.00043755	0.000168031	0.00261779	0.00121731	0.000609326	0.000480626	9.79391e-05	8.45091e-05	0.000432365	0.00022095	0.0016587	0.000255903	0.00058492	0.00120798	0.00024219	0.000940609	0.000382347	0.000961304	0.999779	0.999943	1.00006	1.00022	0.1782191	1.026573e-05	0.00243564	0.183296	0.816704	0.997564	0.09307923
1180	-18755.11	-18696.14	-58.96967	3.566733e+07	0.00378002	0.00377176	0.00227182	0.0042593	0.00186644	0.00101974	0.00192587	0.00155748	0.00124384	0.000456688	0.00324238	0.00140418	0.00476209	0.00698254	0.00233462	0.00648339	0.00361608	0.00175362	0.00166269	0.000951947	0.000556232	0.00293915	0.00601312	0.00598233	0.00309258	0.000311315	0.000330798	0.000293401	0.000715371	0.00249033	0.00124255	0.000513165	0.00037312	0.00016491	0.000110462	0.000279545	0.000198946	0.00158295	0.000441116	0.000318334	0.0011699	0.000335833	0.000991877	0.000456496	0.000961304	0.999787	0.999946	1.00005	1.00021	0.1800133	2.532817e-05	0.00254819	0.184592	0.815408	0.997452	0.08721161
1190	-18737.45	-18676.41	-61.0417	3.395273e+07	0.00404185	0.00356132	0.00243499	0.00459779	0.00187345	0.00132161	0.0017483	0.00191082	0.00114562	0.000547375	0.00282595	0.00168336	0.00525958	0.00630879	0.00193623	0.00581	0.00268155	0.00183435	0.00155962	0.000987634	0.000570331	0.0029326	0.00608249	0.00586208	0.00313013	0.000401364	0.000196457	0.000305581	0.000307046	0.00262579	0.00146106	0.000536926	0.000445218	4.23017e-05	0.000182198	0.000426367	0.000146886	0.00189476	0.00039775	0.000613558	0.00149409	0.000335833	0.000870931	0.000563851	0.00117943	0.999782	0.999944	1.00006	1.00022	0.1769577	2.010956e-05	0.00235825	0.182379	0.817621	0.997642	0.0870752
1200	-18742.85	-18680	-62.84313	3.910469e+07	0.00384899	0.00339112	0.00210406	0.00493069	0.0020999	0.000978335	0.00165938	0.00171886	0.00106945	0.000388495	0.0029113	0.00172637	0.00462751	0.00695178	0.00192004	0.00512642	0.00315656	0.00175789	0.00196143	0.0012418	0.000669659	0.00291111	0.00576752	0.00619841	0.00334796	0.000302768	0.000154936	0.000335458	0.000342241	0.00288791	0.00145768	0.000547439	0.000641824	0.000126543	0.000144752	0.000332585	0.000263534	0.00173367	0.000413627	0.000326978	0.00131404	0.000173916	0.00116422	0.000589708	0.00109245	0.999797	0.999948	1.00005	1.0002	0.1795656	1.646159e-05	0.00251984	0.18427	0.815731	0.99748	0.08681133
1210	-18749.54	-18691.51	-58.0359	4.056745e+07	0.00431636	0.00355134	0.00199215	0.00525137	0.0019735	0.00111875	0.00174044	0.00160628	0.00106945	0.000505636	0.00279582	0.00148817	0.00540694	0.00603552	0.00211886	0.00633866	0.00330601	0.0018105	0.00195105	0.000795705	0.000506751	0.00303467	0.00506489	0.00574936	0.00313288	0.000309432	0.00019667	0.000345233	0.000219038	0.00260887	0.0011498	0.000559001	0.000267356	1.36876e-06	0.000111058	0.00040292	0.000248504	0.00186185	0.000603059	0.000392874	0.00114772	0.000222281	0.000951784	0.000922739	0.000856013	0.999801	0.999949	1.00005	1.0002	0.1799395	2.806044e-05	0.00254351	0.184539	0.815461	0.997456	0.08603863
1220	-18739.51	-18674.89	-64.61732	3.336268e+07	0.00294051	0.00307529	0.00189642	0.00477616	0.00155324	0.000799833	0.00128889	0.00195331	0.000783666	0.000235516	0.00245623	0.00132537	0.00426366	0.00619452	0.00193061	0.00519385	0.00270784	0.00173026	0.00151181	0.000929346	0.00052797	0.00288907	0.00494695	0.00490104	0.00264772	0.000289295	6.03571e-05	0.000321833	0.000352268	0.00216575	0.00118722	0.000513394	0.000383744	0.000128855	9.31384e-05	0.000316762	0.000285879	0.00105141	0.000511675	0.000383867	0.0012297	9.64292e-05	0.000938863	0.000374572	0.00135391	0.99978	0.999944	1.00006	1.00022	0.1721617	1.333646e-05	0.00207719	0.178849	0.821151	0.997923	0.07549799
1230	-18746.66	-18685.78	-60.8863	3.225865e+07	0.0037861	0.00294588	0.00217924	0.00489446	0.00176442	0.00136874	0.00188109	0.0020144	0.000900105	0.000369963	0.00256708	0.00122193	0.00536629	0.00648774	0.00226837	0.00607673	0.00258569	0.00160584	0.00187678	0.000783865	0.000521732	0.00244868	0.0052444	0.00479355	0.00301227	0.000378982	6.34146e-05	0.000278255	0.000383744	0.00275701	0.001369	0.00064624	0.000237213	0.000118193	0.000142349	0.00031716	0.000148664	0.00128306	0.000441765	0.000267149	0.00118559	0.000186425	0.00106476	0.00051098	0.00113267	0.999776	0.999943	1.00006	1.00022	0.1755726	2.033887e-05	0.00227495	0.181367	0.818633	0.997725	0.08187797
1240	-18741.16	-18680.28	-60.87909	3.307625e+07	0.00385554	0.00347178	0.00199136	0.00461539	0.00178231	0.0010211	0.00121502	0.00182904	0.000914199	0.000326581	0.00256708	0.00156466	0.00517939	0.0057983	0.00168088	0.00498086	0.00289455	0.00154933	0.0015395	0.000887961	0.000824425	0.00249625	0.00581166	0.00569759	0.00312993	0.000295894	0.000168455	0.000224235	0.000474215	0.0025798	0.00135903	0.000644416	0.000389545	1.29836e-05	0.000119428	0.000199341	0.000310891	0.001488	0.000368545	0.000552361	0.00122396	0.000317214	0.00086493	0.000724938	0.00138063	0.999779	0.999944	1.00006	1.00022	0.1739052	2.033887e-05	0.00217695	0.180141	0.819859	0.997823	0.0813235
