Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	pi_alpha	pis[1]	pis[2]	pis[3]	pis[4]	TL
100	-18829.6	-18868.97	39.37096	0.0104013	0.0100695	0.00650445	0.0158161	0.00579121	0.00402426	0.00604087	0.00565539	0.00312836	0.000963723	0.00818355	0.00599884	0.0140019	0.0173451	0.00551086	0.0149723	0.00913291	0.00448212	0.00627172	0.00305575	0.00202143	0.00717225	0.0129483	0.0161268	0.000147648	0.00129105	0.00372168	0.00441622	0.000276938	0.000364218	0.00851109	0.00028861	0.00284631	0.00100125	0.000346961	0.000433189	0.00852414	0.00166652	0.00413448	0.000676341	0.000502413	0.00113822	0.00236325	0.00172895	0.0019029	0.2295012	0.00676826	0.216708	0.783292	0.993232	0.2419012
110	-18827	-18866.44	39.44203	0.00927007	0.00931912	0.00744474	0.0129518	0.0059595	0.00277767	0.00609715	0.00510583	0.00367961	0.00131153	0.00759304	0.00614803	0.013007	0.0178733	0.00546272	0.0136362	0.00855358	0.00441685	0.00545771	0.00263074	0.00181598	0.00871418	0.0165764	0.0138713	0.000220699	0.00104913	0.00309385	0.00418725	0.000817909	0.000336856	0.00881875	0.000411994	0.00378639	0.000914419	0.000585	0.000145651	0.00828071	0.00159486	0.00330247	0.000630317	0.000136439	0.00107384	0.00179693	0.00180863	0.00212857	0.2295012	0.00676826	0.216708	0.783292	0.993232	0.2347948
120	-18817.67	-18857.36	39.69299	0.00899061	0.00765001	0.00681899	0.0110087	0.00484018	0.00333855	0.00548544	0.00534647	0.00429427	0.00114689	0.00754293	0.00614803	0.00907656	0.0137692	0.00575927	0.0128151	0.00792824	0.00532564	0.00415743	0.00181699	0.00172509	0.00787189	0.0117048	0.0128783	0.000104462	0.00118246	0.00282773	0.00480307	0.000537963	0.000593609	0.00922515	0.0001079	0.0023254	0.00103495	0.000456355	0.000278132	0.00704439	0.00202698	0.00361579	0.00108688	0.000246476	0.000763151	0.00132319	0.00150682	0.00206491	0.2205332	0.00585067	0.211379	0.788621	0.994149	0.2105952
130	-18799.85	-18839.73	39.87828	0.00826273	0.00761204	0.00574556	0.0102771	0.00507467	0.00298863	0.00543703	0.00540463	0.00273373	0.000725347	0.00557272	0.00519579	0.00861736	0.0133736	0.00458658	0.0130998	0.00725512	0.00321002	0.00386512	0.00198882	0.000959572	0.00737108	0.011945	0.0114086	6.38438e-05	0.000895654	0.00253379	0.00375772	0.00033871	0.000500961	0.00728196	0.000717264	0.00293264	0.00135909	0.000659127	0.000154911	0.00613909	0.00169474	0.00303941	0.000840705	0.000347926	0.000804767	0.00147757	0.00127268	0.00254309	0.2205332	0.00585067	0.211379	0.788621	0.994149	0.1920664
140	-18800.25	-18840.12	39.86865	0.00842752	0.00814966	0.00562911	0.0106393	0.00464002	0.00260832	0.00498834	0.00412499	0.00270915	0.000749629	0.00715062	0.00473342	0.00942663	0.0133736	0.00386648	0.0130998	0.00709579	0.00375725	0.00402108	0.00245612	0.00203545	0.00702915	0.0111863	0.0114086	0.000321258	0.00104636	0.00234876	0.00390224	0.000388355	0.000447684	0.00889946	0.000201222	0.00291089	0.00117644	0.000615006	0.000308573	0.00617442	0.00154205	0.00250454	0.000843471	0.000396212	0.00142229	0.000983597	0.00146316	0.00175748	0.2212245	0.00591913	0.211797	0.788203	0.994081	0.1929599
150	-18789.87	-18829.81	39.94482	0.00958254	0.00691058	0.00621265	0.00974388	0.0034304	0.00264781	0.00548493	0.00414752	0.00224308	0.000774522	0.00627093	0.00483094	0.0112551	0.0123645	0.00465168	0.0124199	0.00728486	0.00352356	0.00414623	0.00270318	0.00140982	0.00624078	0.0113044	0.0116254	8.5788e-05	0.000682624	0.00289358	0.0032278	0.000145165	0.000518158	0.00650977	5.65607e-05	0.00278256	0.00090467	0.000275406	0.00059782	0.00555646	0.00138647	0.00311131	0.000740178	0.000691747	0.001039	0.00120457	0.00103194	0.00131282	0.2150203	0.00531857	0.208001	0.791999	0.994681	0.1859635
160	-18796.58	-18836.55	39.96746	0.00824235	0.00714756	0.00502712	0.0103946	0.00451992	0.00265824	0.00505784	0.00408581	0.00282872	0.000890227	0.00725878	0.00493933	0.0107456	0.0114631	0.0038567	0.0119391	0.00733312	0.00396229	0.0039335	0.00235942	0.00151061	0.00548238	0.0108436	0.00994424	5.69457e-05	0.000932188	0.00330352	0.00343925	0.000323767	0.000477455	0.00726717	0.00031386	0.00227477	0.00115481	0.000449732	0.000194888	0.00550634	0.00146957	0.00211182	0.0010669	0.000427284	0.00149919	0.00122457	0.00147091	0.00231094	0.2150203	0.00531857	0.208001	0.791999	0.994681	0.1837
170	-18786.1	-18826.08	39.97228	0.00857898	0.00714756	0.00572716	0.011113	0.00352928	0.00330755	0.00464199	0.00459031	0.00222113	0.000921393	0.00642501	0.0042276	0.0094101	0.0117078	0.00446858	0.011707	0.00726453	0.00336437	0.00374509	0.00183453	0.00148204	0.00560461	0.0120204	0.0110968	0.000152206	0.00106837	0.00265333	0.00382933	0.000311324	0.000217301	0.00691055	0.000205681	0.00247546	0.00131421	0.000619416	0.000408443	0.00675325	0.00115149	0.00308577	0.000747021	0.000497178	0.000574904	0.00106661	0.0017879	0.00146364	0.2128991	0.0051205	0.20668	0.79332	0.99488	0.1834302
180	-18791.26	-18831.25	39.99437	0.00810284	0.00740323	0.00510649	0.0113344	0.00400537	0.00255989	0.00488707	0.00542134	0.00237845	0.000975911	0.00613319	0.00559792	0.0108904	0.0106376	0.00381693	0.0133244	0.00606741	0.0035377	0.00430352	0.00180669	0.00109405	0.00660275	0.0113975	0.0110968	0.00025755	0.00072599	0.00225678	0.0035783	0.000117472	0.000391339	0.00542382	0.000531459	0.00225517	0.00090419	0.00048253	0.000253414	0.00599613	0.00148993	0.00342396	0.000713015	0.000184201	0.000636566	0.0007141	0.00133201	0.00107119	0.2128991	0.0051205	0.20668	0.79332	0.99488	0.181221
190	-18782.22	-18822.39	40.1692	0.00756839	0.00656279	0.00569765	0.00883384	0.00348654	0.00212408	0.00480884	0.00368747	0.0028197	0.000793383	0.0050629	0.00428749	0.00951213	0.0106376	0.00423514	0.0102747	0.00737653	0.00303252	0.00326006	0.00161597	0.00116114	0.00499676	0.00909249	0.00907885	0.000606535	0.000949252	0.00234966	0.0035783	0.000137725	0.000350477	0.00730155	0.00027964	0.00192359	0.00112897	0.000600994	0.000378693	0.00502896	0.00118113	0.00240383	0.000575393	0.000160601	0.000785565	0.00146087	0.00116327	0.00176698	0.2090883	0.00477412	0.204276	0.795724	0.995226	0.164119
