Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	pi_alpha	pis[1]	pis[2]	pis[3]	pis[4]	TL
1900	-18617.27	-18658.48	41.21483	0.00301722	0.00277374	0.00160632	0.00371341	0.0012794	0.00100648	0.00130637	0.00126185	0.000747286	0.000346869	0.00204945	0.00127668	0.00330853	0.00484251	0.00163252	0.00393992	0.00202689	0.00116692	0.00130023	0.000695255	0.000390412	0.00229279	0.00404263	0.00454143	0.000121294	0.000364742	0.00110196	0.00130206	0.000168789	0.000319889	0.00235308	0.000233296	0.000853907	0.000367647	0.000268624	0.000212644	0.0021281	0.000402825	0.00087878	0.000365027	0.000176284	0.000170123	0.00027752	0.000364742	0.000947287	0.1652128	0.00170677	0.173608	0.826392	0.998293	0.06394373
1910	-18618.14	-18659.33	41.18712	0.00335482	0.00267362	0.00191111	0.00346515	0.0013733	0.000814601	0.00113939	0.00152743	0.000795007	0.00043253	0.00193342	0.00132941	0.00364311	0.00522668	0.00167956	0.00506901	0.00214463	0.00131155	0.00120927	0.000639443	0.000487107	0.00226731	0.00445764	0.00453281	7.17447e-05	0.000283188	0.00102034	0.00106983	0.000116447	0.000222167	0.0024629	0.000466328	0.000857046	0.000438064	0.000293269	0.00038393	0.00217787	0.000439488	0.00101434	0.000219481	0.00017546	0.000190647	0.000238747	0.000263158	0.000690609	0.167226	0.00180962	0.175142	0.824858	0.99819	0.06651297
1920	-18624.92	-18666.07	41.15004	0.0034368	0.00290774	0.0020092	0.00435317	0.0013733	0.000957334	0.00130673	0.00153219	0.000977052	0.000230529	0.0019143	0.00129153	0.0035976	0.00582709	0.00169141	0.00452767	0.00214463	0.00129259	0.0016398	0.000799917	0.000508155	0.0026848	0.00463864	0.00471398	0.00026644	0.000304885	0.0010608	0.00102156	0.000224725	0.000185674	0.00257843	0.000325976	0.000889062	0.000329705	0.000212698	0.000326428	0.00232472	0.000553984	0.00124519	0.000201588	0.000112323	0.000184306	0.000284235	0.000522869	0.000546665	0.16885	0.00189524	0.17637	0.82363	0.998105	0.0700584
1930	-18629.54	-18670.7	41.16364	0.00264691	0.00258611	0.00177413	0.00410161	0.00110678	0.00075486	0.00133418	0.00189818	0.00105012	0.000368334	0.00254142	0.00124387	0.00391573	0.00538205	0.00198358	0.00466418	0.00212853	0.00164544	0.00172477	0.000756115	0.000508902	0.00240858	0.00474472	0.00423561	0.000197622	0.000375799	0.00112168	0.00106359	6.21409e-05	0.000289004	0.00239142	0.000281757	0.000710017	0.0003612	0.000222921	0.00026819	0.0018869	0.000644591	0.00126179	0.000239927	9.95747e-05	0.000254687	0.000318461	0.000431053	0.000739775	0.1685707	0.00188035	0.176159	0.823841	0.99812	0.06872682
1940	-18612.13	-18653.35	41.21648	0.0028046	0.00276044	0.00172111	0.00385321	0.00129249	0.000724419	0.00129565	0.00164114	0.000812471	0.000281505	0.00183416	0.00122753	0.0036347	0.00436344	0.00162554	0.00403023	0.00237583	0.00123518	0.00117506	0.000696199	0.000492842	0.00219773	0.004381	0.00394855	7.51306e-06	0.000336295	0.00103629	0.00141232	0.000112692	0.000198729	0.00231973	0.000172748	0.000782124	0.000313213	0.00032365	0.000330718	0.0019173	0.00050151	0.00129023	0.000346556	0.000123177	0.000191968	0.000254168	0.000602514	0.000699974	0.1662135	0.00175744	0.174372	0.825628	0.998243	0.06367846
1950	-18616.49	-18657.69	41.19846	0.00328696	0.00247479	0.00187177	0.00416958	0.00146628	0.000680399	0.00126033	0.00147611	0.000847959	0.000243257	0.00224242	0.00117996	0.00395564	0.00523584	0.00190449	0.0045509	0.00213651	0.00126139	0.00134595	0.000487163	0.00036089	0.00228431	0.00441321	0.00435347	3.55167e-05	0.00026234	0.00102535	0.000933875	6.96283e-05	0.000193657	0.00232686	0.000338654	0.000715256	0.000351247	0.000267674	0.000163581	0.00195832	0.00044848	0.000905155	0.000172934	0.000166942	0.000205221	0.00015165	0.000682586	0.000590271	0.1664677	0.00177045	0.174565	0.825435	0.99823	0.06545479
1960	-18619.6	-18660.75	41.15508	0.0027344	0.00268721	0.00183346	0.00440973	0.00168092	0.000986357	0.00154918	0.0016849	0.000918034	0.000243257	0.00233295	0.00125439	0.00412591	0.00481592	0.00181925	0.00479717	0.00272135	0.00133578	0.00132807	0.0008071	0.00056485	0.00245476	0.00476557	0.00425338	3.56908e-05	0.000358266	0.000816054	0.0015014	0.000223154	0.000243795	0.0023168	0.00030368	0.000575642	0.00046446	0.000295705	0.000238501	0.00226468	0.00058526	0.00103934	0.000279054	0.000163034	0.000205221	0.000302961	0.000578905	0.000747838	0.1679655	0.00184831	0.175702	0.824298	0.998152	0.06964333
1970	-18622.15	-18663.35	41.20501	0.00317975	0.00272052	0.00158206	0.00396866	0.00154193	0.000875868	0.00118965	0.00134431	0.000735354	0.000243257	0.00200362	0.00114435	0.00363168	0.00416743	0.00158515	0.00463184	0.00240297	0.00147872	0.00108314	0.000757934	0.000473211	0.00227473	0.00433945	0.00452464	8.68557e-05	0.000340099	0.00103816	0.000884133	5.85727e-05	0.00031149	0.00240006	0.00030368	0.000599692	0.000337694	0.000410195	0.000334123	0.00208551	0.000439029	0.00103447	0.000183086	0.000195773	0.000196972	0.000104672	0.000600355	0.000855384	0.1676618	0.00183237	0.175472	0.824528	0.998168	0.06468021
1980	-18625.29	-18666.49	41.2015	0.00273192	0.00269534	0.00161718	0.00378837	0.00158723	0.000804962	0.00144342	0.00167917	0.000897727	0.000398731	0.00246093	0.00117487	0.00383179	0.0046095	0.00173222	0.00414888	0.00261258	0.00111653	0.00138134	0.000517505	0.000293125	0.00188505	0.00480392	0.00418803	0.000335599	0.000321071	0.000790233	0.00127198	0.000140128	0.000174602	0.00217092	0.000229862	0.000793179	0.000358554	0.000385891	0.00016228	0.0018481	0.000480456	0.00103722	0.000293778	0.000209493	2.79794e-05	0.000179171	0.000920698	0.000697831	0.1656879	0.00173072	0.173971	0.826029	0.998269	0.06522933
1990	-18610.64	-18651.86	41.22097	0.00302907	0.00247399	0.00167276	0.0034366	0.00132291	0.000690672	0.00111714	0.00123419	0.00073157	0.000267587	0.00240658	0.00134133	0.00359961	0.00483693	0.0016347	0.00411987	0.00238162	0.00144729	0.00149169	0.000621312	0.00044028	0.00228259	0.00460302	0.00422876	0.000102798	0.000314554	0.000865276	0.00112279	0.000187029	0.000156354	0.00218039	0.000302693	0.000782173	0.000323153	0.000329751	0.000188102	0.00189484	0.000506719	0.000830608	0.000238928	0.000129955	4.76264e-05	0.000282177	0.000589171	0.000642697	0.1642103	0.0016569	0.172839	0.827161	0.998343	0.06342985
2000	-18614.8	-18656.03	41.22786	0.00301978	0.00215861	0.00180015	0.003595	0.00152138	0.000789531	0.00123249	0.00151871	0.000718337	0.000353641	0.00218412	0.00124205	0.00387979	0.0047671	0.00138798	0.00440072	0.00251758	0.00120824	0.00115887	0.000721572	0.00044028	0.00198439	0.00394829	0.00390064	0.000222365	0.000348998	0.000985627	0.00109352	0.000277681	8.95312e-05	0.00199772	0.000440483	0.000755845	0.000178439	0.000250195	0.000149557	0.00205693	0.000409391	0.00105773	0.000132879	0.00014237	6.44825e-06	0.000419403	0.000349354	0.000902204	0.1644563	0.00166905	0.173028	0.826972	0.998331	0.0627159
2010	-18619.86	-18661.11	41.25528	0.00267888	0.00265513	0.00187057	0.00270303	0.00116663	0.000792276	0.00125095	0.00120886	0.000767783	0.000259909	0.0019375	0.00148493	0.00321813	0.00437412	0.00129666	0.0043512	0.00225038	0.00125887	0.00122864	0.000544001	0.000416515	0.00195617	0.00434751	0.00402846	3.32274e-05	0.000328445	0.00107343	0.00113137	0.000269953	0.000153881	0.00212659	0.000197389	0.000716365	0.000328306	0.000237523	0.000143759	0.0019871	0.000527691	0.00079807	0.000185009	0.000112145	6.23548e-05	0.000370186	0.000395247	0.000769898	0.1642423	0.00165848	0.172864	0.827136	0.998341	0.05999504
2020	-18618.96	-18660.18	41.21557	0.00300792	0.00265667	0.00185243	0.00352642	0.00146698	0.000701574	0.00110681	0.00121721	0.000853345	0.000285865	0.00219743	0.00133508	0.00349661	0.00456923	0.00165775	0.00492899	0.00232693	0.00136864	0.00116112	0.000720274	0.000528464	0.00227349	0.00397559	0.00398849	9.3874e-06	0.000335932	0.000814628	0.00119436	0.000187213	0.000221593	0.00237864	0.000344115	0.000684874	0.000442726	0.00034844	0.000252181	0.00205024	0.000244087	0.000998129	0.000241156	0.000178051	0.000141288	0.00023999	0.000672778	0.00081782	0.163895	0.0016414	0.172597	0.827403	0.998359	0.06400096
2030	-18625.78	-18666.99	41.21288	0.00331876	0.00241397	0.00189261	0.00374419	0.00104695	0.000776128	0.00125075	0.001395	0.000863221	0.000319838	0.00209548	0.00103511	0.00345455	0.00472674	0.00169845	0.0045326	0.00213162	0.00112804	0.00174487	0.000629035	0.000343249	0.00203487	0.00429303	0.00417123	5.87068e-06	0.000291209	0.000955151	0.00122332	0.000127984	0.000232547	0.0021775	0.000317406	0.000822829	0.000538379	0.000473304	0.000288191	0.00154709	0.000610859	0.00107408	0.000205919	0.000173293	0.000235561	0.000313121	0.00050423	0.00081782	0.1668357	0.0017894	0.174845	0.825155	0.998211	0.06397595
2040	-18627.53	-18668.74	41.21407	0.00375773	0.00258567	0.00177689	0.00395871	0.0012152	0.000853044	0.000912116	0.00119493	0.000834624	0.000280275	0.00217042	0.00141052	0.00370483	0.00455801	0.00156203	0.00430071	0.00259855	0.00111267	0.00125066	0.000532608	0.000446255	0.00219302	0.00430678	0.00448707	2.11053e-05	0.000254466	0.00082606	0.000872298	0.000195067	0.000106109	0.0025431	0.000464591	0.000758997	0.000337687	0.000283142	0.000182555	0.00194753	0.000442486	0.000949985	0.00041689	6.82355e-05	0.000129283	0.000297336	0.000452568	0.000492094	0.1649549	0.00169386	0.17341	0.82659	0.998306	0.0640449
2050	-18625.21	-18666.41	41.20163	0.0024273	0.00278509	0.00169881	0.00400085	0.00151237	0.000837664	0.00130256	0.00178705	0.000805439	0.000299838	0.00191477	0.00142952	0.00386001	0.0047602	0.00164885	0.00467352	0.00224435	0.00102269	0.00125066	0.000693762	0.000320724	0.00210079	0.00450529	0.0045607	0.000300548	0.000346289	0.000900715	0.00123352	0.000165523	0.000106864	0.00188017	0.000303487	0.000772433	0.000425725	0.000250892	9.886e-05	0.00176393	0.000693729	0.00106684	0.000321382	0.000135109	0.000178063	0.000145348	0.000590059	0.000955772	0.1670647	0.00180125	0.175019	0.824981	0.998199	0.06507808
2060	-18612.28	-18653.52	41.23775	0.00250248	0.0027203	0.00182363	0.00333586	0.00144322	0.000740662	0.00117303	0.00137994	0.000915745	0.000328368	0.00202335	0.0010807	0.00366272	0.00497589	0.0017071	0.00429094	0.00233018	0.00115193	0.00137391	0.000578246	0.000456259	0.00193022	0.00406149	0.00351234	2.57453e-05	0.000307438	0.000977963	0.00106259	0.000215728	7.07936e-05	0.0018957	0.000227097	0.000729572	0.000439635	0.000386089	0.00032154	0.00191032	0.000490185	0.0011171	0.00023541	0.000163323	0.000178063	0.000234619	0.000569299	0.000676317	0.1643949	0.00166602	0.172981	0.827019	0.998334	0.06173303
2070	-18623.98	-18665.18	41.20192	0.00355604	0.00262397	0.00175375	0.00385237	0.00135356	0.00082867	0.00112999	0.00123155	0.000943719	0.000298004	0.00233683	0.0010807	0.0034092	0.00424933	0.00180192	0.00431715	0.00218481	0.0014348	0.00150441	0.000808952	0.000437198	0.00236665	0.00401545	0.0045047	9.97424e-05	0.000406239	0.00102953	0.00139902	0.000227067	9.8171e-05	0.00226827	0.000326165	0.000652341	0.000222602	0.000396778	0.000197848	0.00213648	0.000495515	0.000861375	0.000224199	0.000128717	0.000303698	0.000141485	0.000592201	0.000788256	0.1673646	0.00181684	0.175247	0.824753	0.998183	0.06501944
2080	-18619.97	-18661.14	41.16927	0.00331239	0.00307765	0.00174304	0.00381126	0.00160544	0.000756836	0.00116546	0.00141094	0.000841142	0.000415313	0.00191208	0.00143392	0.00356151	0.00548522	0.00172648	0.00477749	0.0024255	0.00111232	0.00139529	0.000830578	0.00043811	0.0026135	0.00467235	0.00444612	0.000123892	0.000254877	0.000977517	0.00106395	0.000227067	4.93072e-05	0.00254383	0.000215936	0.000727801	0.00025479	0.000300583	0.000132781	0.00227979	0.000479179	0.00119613	0.000329046	0.000200098	0.000224434	0.000249411	0.000718493	0.000814297	0.1668735	0.00179135	0.174874	0.825126	0.998209	0.06833313
2090	-18627.57	-18668.71	41.13948	0.00331239	0.0029187	0.00187173	0.00370733	0.00159114	0.000824121	0.00113371	0.00150192	0.000878908	0.00033909	0.00248984	0.00139276	0.00383999	0.00602442	0.00158572	0.00477749	0.00226839	0.000983946	0.00152069	0.000749461	0.000473505	0.00253972	0.00512784	0.00491698	4.83554e-05	0.00029804	0.00118927	0.00103523	0.000227067	0.000164061	0.00255157	0.000413528	0.000839057	0.000276733	0.000500784	0.000140782	0.00241334	0.000498706	0.000882074	0.000264623	0.000134211	0.000240203	0.000362973	0.000941565	0.000881551	0.1692653	0.00191752	0.176683	0.823317	0.998082	0.07107353
2100	-18615.57	-18656.72	41.14246	0.00319897	0.002658	0.00216504	0.00420778	0.00159942	0.00080187	0.00136783	0.00142907	0.000870415	0.000365584	0.00254938	0.0015267	0.004371	0.00530781	0.00167138	0.00470123	0.00254576	0.00149627	0.0015459	0.000731436	0.00049387	0.00229053	0.00498875	0.004536	1.67659e-06	0.000226215	0.00105723	0.00134293	0.000388332	7.12314e-05	0.00230768	0.000208057	0.000752412	0.000407139	0.000337626	9.45e-05	0.00199538	0.000633075	0.00103125	0.000157849	0.000196857	0.000343947	0.000342224	0.000547698	0.000911993	0.1692681	0.00191767	0.176685	0.823315	0.998082	0.07077533
2110	-18625.85	-18666.95	41.10242	0.00360231	0.0031928	0.00196848	0.00438774	0.00180089	0.000992295	0.00145139	0.00149256	0.00105706	0.000284815	0.00234792	0.00137224	0.00387158	0.00558879	0.00154449	0.0054745	0.00249172	0.0014662	0.0015459	0.000776738	0.000539477	0.00289443	0.00469036	0.00544062	5.53768e-05	0.000247168	0.00105122	0.00118143	0.000333753	0.000145963	0.00240264	0.000563259	0.000984432	0.00034088	0.000355444	0.000212038	0.00251269	0.00057599	0.00114096	0.00033681	0.00019135	0.000407643	0.000232984	0.000399432	0.000722636	0.1703651	0.00197725	0.177508	0.822492	0.998023	0.07466939
2120	-18628.21	-18669.3	41.09046	0.0037533	0.0030644	0.00196848	0.00396325	0.00143412	0.00108148	0.00131209	0.00150215	0.000800289	0.000314199	0.00311666	0.00141797	0.00457708	0.0060796	0.0020807	0.00465723	0.00249572	0.00167839	0.0019507	0.000806595	0.000438558	0.00247265	0.00534693	0.00506357	2.93678e-05	0.000320463	0.000950184	0.00131353	0.000511726	6.46482e-05	0.00266537	0.000335558	0.000905194	0.000340953	0.000521026	0.000135748	0.00229692	0.000473775	0.00126538	0.000300379	0.000153009	0.000161482	0.000253492	0.000399432	0.000973967	0.1715425	0.00204242	0.178388	0.821612	0.997958	0.07574773
2130	-18621.94	-18663.05	41.11502	0.00326695	0.00270517	0.00232066	0.00398365	0.00176541	0.00109718	0.00146697	0.00176351	0.00109486	0.000345254	0.00225992	0.00155096	0.00409151	0.00560019	0.00194053	0.0048977	0.00262974	0.001417	0.0014586	0.000761518	0.000563984	0.00247167	0.00447107	0.00498417	0.000279978	0.000409476	0.000954341	0.00148774	0.000174699	6.09483e-05	0.00246328	0.000371576	0.000884151	0.000349358	0.000365199	0.000324158	0.00219866	0.000695003	0.00110463	0.000300379	0.000264767	9.24267e-06	0.000347373	0.000742719	0.00060871	0.1714084	0.00203493	0.178288	0.821712	0.997965	0.07330456
2140	-18628.96	-18670.09	41.12754	0.0037502	0.0031962	0.00180211	0.00398365	0.00145009	0.000622337	0.00134511	0.00145609	0.00101507	0.000396897	0.00245515	0.00145219	0.00482743	0.00508172	0.00164211	0.00426956	0.00234617	0.00139672	0.00148619	0.000766849	0.000534506	0.00268307	0.00471706	0.00497969	7.2209e-05	0.000302043	0.00124402	0.00171184	0.000311945	4.91951e-05	0.0026082	0.00039595	0.000579307	0.000274853	0.000463305	0.000289989	0.0022694	0.000412269	0.00111921	0.000158029	0.000203347	9.93988e-05	0.000481455	0.000580923	0.00092441	0.1698615	0.00194976	0.177131	0.822869	0.99805	0.07220749
2150	-18616.09	-18657.26	41.17011	0.00303368	0.0026436	0.00172079	0.00398365	0.0013186	0.000939389	0.00124073	0.00152319	0.000951795	0.000306891	0.00225694	0.00136984	0.00372284	0.0052409	0.00139764	0.00509437	0.00229328	0.00162871	0.00131907	0.000708732	0.000346381	0.00246514	0.0050165	0.00430182	0.000307291	0.000390728	0.0010698	0.00157585	0.000238741	0.000133941	0.00202156	0.000292767	0.000710917	0.000467908	0.000212517	0.00016199	0.00194116	0.000508803	0.00108824	0.00027783	0.000195349	1.45556e-05	0.000312211	0.000519637	0.000882251	0.1678787	0.00184375	0.175636	0.824364	0.998156	0.06814853
2160	-18626.78	-18667.96	41.17714	0.00277695	0.00269394	0.00213766	0.00391395	0.00152375	0.000992951	0.00136299	0.00184458	0.00101496	0.000199521	0.00221339	0.00152723	0.00404047	0.00479086	0.0016849	0.00471737	0.00274195	0.00112856	0.00123809	0.000819958	0.00052704	0.00232763	0.0052034	0.00436287	9.01007e-05	0.000361375	0.00115433	0.000894568	0.000195238	5.16226e-05	0.002182	0.000250368	0.000700986	0.000380431	0.000333481	0.000120524	0.00198834	0.000389455	0.00099271	0.0001973	0.000201402	1.57881e-05	0.000249202	0.000469079	0.000681854	0.1654852	0.00172047	0.173816	0.826184	0.998279	0.06768512
2170	-18622.02	-18663.16	41.14267	0.00335989	0.00318676	0.00203037	0.00391886	0.00133797	0.00102798	0.00137181	0.00191741	0.000917548	0.000347879	0.00233791	0.00121087	0.00466886	0.00479086	0.00169384	0.00457782	0.0024066	0.0012682	0.00153389	0.000735917	0.000534201	0.00213744	0.00547988	0.00461886	0.000163346	0.000355465	0.000918796	0.00144254	0.000257861	0.000152406	0.00267232	0.000245496	0.000835696	0.000338516	0.000172401	0.000173575	0.00228098	0.000663463	0.000966708	0.000167365	0.000191589	7.38569e-05	0.000160181	0.000553159	0.00065906	0.1682463	0.00186314	0.175914	0.824086	0.998137	0.0708564
2180	-18623	-18664.13	41.12598	0.00345402	0.00303715	0.0022912	0.00418574	0.00160138	0.000889681	0.00148565	0.00163796	0.000840711	0.00032014	0.00242498	0.00190622	0.00457918	0.00511576	0.00176212	0.00459645	0.00263845	0.00141299	0.00145666	0.000771307	0.000387053	0.00232172	0.00486195	0.00431187	2.04164e-05	0.000355465	0.00109367	0.00130793	0.000395741	7.39265e-05	0.00250221	0.000232244	0.000667625	0.000439762	0.000312421	0.000275946	0.00222874	0.000373301	0.00121362	9.52661e-05	0.000286139	2.50469e-05	0.000350062	0.000707484	0.00116995	0.1693276	0.00192087	0.176729	0.823271	0.998079	0.07241733
2190	-18619.35	-18660.51	41.16005	0.00340083	0.00280934	0.00182271	0.00347407	0.00159794	0.000965449	0.00145482	0.00163796	0.000760301	0.000397256	0.0020154	0.00116797	0.00420532	0.00547763	0.00175574	0.0047618	0.00237232	0.00133877	0.00143183	0.000862912	0.000449521	0.00264195	0.00477089	0.00414526	4.67216e-05	0.000333012	0.000917008	0.00122924	0.000233464	9.39143e-05	0.00252084	0.000316234	0.00093245	0.000224628	0.000181727	0.000337728	0.00222874	0.000605933	0.00105858	0.000279691	0.000171038	4.42661e-05	0.00028062	0.000427154	0.000927767	0.1683381	0.001868	0.175984	0.824016	0.998132	0.06910875
2200	-18624.65	-18665.76	41.10704	0.00310501	0.0029457	0.00197769	0.00415534	0.00159228	0.00108616	0.0013759	0.00168389	0.000916982	0.000312216	0.00239784	0.00123112	0.00452434	0.00488011	0.00191802	0.00492578	0.00295696	0.00156487	0.00163221	0.000837105	0.000427351	0.00264148	0.00577982	0.005471	4.55925e-06	0.000250414	0.000855911	0.00120668	0.000233464	0.000129522	0.00280352	0.000246999	0.000834277	0.000244364	0.000289103	0.000241798	0.00212408	0.000574928	0.00133669	0.000248483	0.000165074	2.30972e-05	0.000285877	0.000384525	0.00126796	0.1715325	0.00204186	0.178381	0.821619	0.997958	0.07409051
2210	-18622.29	-18663.35	41.06085	0.0038603	0.00330206	0.00219124	0.00458067	0.00161176	0.00105522	0.00154656	0.00193963	0.00131934	0.000382787	0.00209183	0.00190927	0.00410724	0.00583533	0.00211616	0.00479599	0.00286638	0.00156487	0.00159232	0.000920699	0.000535379	0.00251494	0.00533025	0.00531475	5.16025e-05	0.000413971	0.00112547	0.00132355	0.000469996	0.000129522	0.00294589	0.00036625	0.00087326	0.000380352	0.000230439	0.000149366	0.00237535	0.000597995	0.00126708	0.000323337	0.000143371	4.71263e-05	0.000288256	0.000827751	0.000998844	0.1724857	0.00209552	0.17909	0.82091	0.997905	0.07861375
2220	-18623.57	-18664.58	41.01012	0.0038603	0.00307002	0.00229386	0.00478597	0.0020457	0.000992766	0.00150791	0.00192739	0.00122887	0.000391846	0.0024993	0.00160936	0.00520834	0.00601104	0.00186871	0.00511078	0.0028733	0.00146226	0.00155121	0.000860049	0.000503948	0.00331913	0.00626322	0.00577538	2.61467e-05	0.000374486	0.00113341	0.00172404	0.000256254	9.00176e-05	0.00294589	0.000338999	0.000815012	0.000418815	0.000297861	0.000236429	0.00270668	0.000800015	0.00149694	0.000214313	0.000178854	6.80527e-05	0.000237338	0.00077422	0.00122231	0.1755913	0.00227606	0.181381	0.818619	0.997724	0.08337672
2230	-18628.46	-18669.52	41.0582	0.00345684	0.00297366	0.00201767	0.00479542	0.00161974	0.00109	0.0016128	0.00184741	0.000865816	0.000311563	0.00252323	0.0016339	0.00439801	0.00640551	0.00193327	0.00499256	0.002632	0.00203069	0.00172747	0.000867354	0.000547898	0.00282849	0.00534909	0.00438414	6.07301e-05	0.000365244	0.00126807	0.00135159	0.000156819	0.0002565	0.00309228	0.000338999	0.000707515	0.000385137	0.000267945	0.000282036	0.00266972	0.000465829	0.00149694	0.000284371	0.000124536	6.80527e-05	0.000352822	0.000851705	0.000924096	0.1751198	0.00224808	0.181035	0.818965	0.997752	0.07861546
2240	-18630.35	-18671.43	41.08739	0.0037236	0.0029612	0.00216789	0.00506965	0.00142794	0.000793174	0.00137221	0.00180359	0.000874435	0.000381173	0.00247373	0.00143092	0.00440157	0.00566023	0.00155851	0.00514474	0.00241684	0.0019118	0.00153801	0.000804561	0.000377768	0.00251512	0.00474146	0.005431	1.30113e-05	0.000373345	0.00113129	0.00152565	0.000278605	4.72643e-05	0.00277905	0.000283769	0.000845164	0.00035691	0.000694352	0.000100487	0.00256278	0.00041157	0.0013516	0.00031942	0.000257218	3.7372e-05	0.000165408	0.000743949	0.000798919	0.1715051	0.00204033	0.17836	0.82164	0.99796	0.07605827
2250	-18629.44	-18670.57	41.12463	0.0030835	0.00340317	0.00196437	0.00486111	0.00161358	0.000799126	0.00109477	0.00163142	0.000921083	0.000405853	0.00218354	0.00132493	0.00387889	0.00556365	0.00170763	0.00472001	0.00226206	0.00130814	0.00178004	0.000867657	0.000524287	0.00222768	0.0049064	0.00499777	1.90883e-05	0.000436276	0.000840933	0.00164761	0.000244922	0.000214603	0.00289648	0.00027118	0.000729425	0.000284396	0.000431845	0.000200484	0.00241407	0.000423186	0.000963022	0.000224113	0.00026092	9.89112e-05	0.000302599	0.000513841	0.00102893	0.1700765	0.00196147	0.177292	0.822708	0.998039	0.07247751
2260	-18625.37	-18666.44	41.0761	0.00348554	0.0030341	0.00213949	0.00422105	0.00161358	0.00110928	0.0014753	0.00168217	0.000708431	0.000386817	0.0025861	0.00151488	0.00487361	0.00538039	0.00235495	0.00546367	0.00284631	0.00153008	0.00156979	0.000850545	0.000442958	0.00262432	0.00526624	0.0051996	4.48193e-05	0.000373339	0.00104008	0.00144652	0.000351179	0.000128033	0.00317513	0.000384834	0.00100767	0.000367411	0.000478462	0.000167649	0.00211016	0.00043068	0.00116874	0.000264915	0.000195946	3.7357e-05	0.000279195	0.000513134	0.000678272	0.1733515	0.00214498	0.179731	0.820269	0.997855	0.07700273
2270	-18630.77	-18671.78	41.0095	0.00387057	0.00311266	0.00247243	0.00482252	0.00152918	0.00125585	0.00169399	0.0017355	0.00135962	0.000355294	0.00286274	0.00171712	0.00468052	0.00689519	0.00216885	0.00506527	0.00283763	0.00153746	0.00143295	0.00105215	0.000446168	0.00269326	0.00617239	0.0054177	1.71449e-05	0.000314838	0.00114875	0.00158113	0.000307758	9.70381e-05	0.00284848	0.000229265	0.000957283	0.000646819	0.000209437	0.00023553	0.00252777	0.000488603	0.00133392	0.000386029	0.000261314	6.9501e-05	0.000482162	0.000754132	0.00129429	0.1761994	0.00231243	0.181826	0.818174	0.997688	0.08337821
2280	-18622.01	-18663.06	41.04956	0.00392061	0.0031793	0.00223134	0.00479127	0.00152682	0.00107924	0.00156071	0.00217111	0.000882748	0.000310267	0.00289326	0.00153726	0.00454446	0.00592838	0.00191511	0.00532637	0.00272756	0.0014839	0.00155724	0.00111356	0.000594605	0.00245183	0.00550797	0.00531762	0.000107508	0.000351668	0.00104482	0.00152098	0.000124101	9.52489e-05	0.00304459	0.000248834	0.000930016	0.000318768	0.000492321	0.000192288	0.00236907	0.00046537	0.00137012	0.000228188	0.000189636	2.56716e-05	0.000279777	0.000662991	0.00110374	0.1727372	0.00210981	0.179276	0.820724	0.99789	0.07971825
2290	-18626.22	-18667.33	41.11237	0.00394064	0.00274932	0.00191932	0.0043283	0.0013055	0.00124143	0.00141461	0.0019108	0.00111158	0.000258501	0.00242678	0.00155411	0.00419823	0.00516758	0.00174112	0.00483606	0.00258116	0.00154092	0.00145655	0.000848606	0.000555313	0.00280529	0.0047874	0.00462423	1.2111e-05	0.000322199	0.00112362	0.00150204	0.000273092	0.000234434	0.00260526	0.000435089	0.000738812	0.000405046	0.000252974	0.000347381	0.00225011	0.00046537	0.00105186	0.000356076	7.6623e-05	3.57665e-05	0.000421925	0.000617842	0.000841987	0.1703791	0.00197802	0.177519	0.822481	0.998022	0.07367296
2300	-18636.01	-18677.09	41.08439	0.00299212	0.00349287	0.00169651	0.00463634	0.00200109	0.000853817	0.00147191	0.00199275	0.000941423	0.000313604	0.00213691	0.00160545	0.00434132	0.00508158	0.00207739	0.00517024	0.00277868	0.00157173	0.00133656	0.000658126	0.000481489	0.00251745	0.00557886	0.00531508	3.90069e-05	0.000463571	0.00090184	0.00163295	7.47861e-05	0.000251252	0.00242344	0.000315416	0.00093282	0.000404349	0.000415814	0.00026087	0.00275927	0.000464794	0.00124578	0.000232978	0.000196736	1.34973e-05	0.000452528	0.000604825	0.0013954	0.1698305	0.00194808	0.177107	0.822893	0.998052	0.07652521
