Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	part_rate[1]	part_rate[2]	part_rate[3]	part_rate_mult[1]	part_rate_mult[2]	part_rate_mult[3]	pi_alpha[1]	pi_alpha[2]	pi_alpha[3]	pinvar[1]	pinvar[2]	pinvar[3]	TL
100	-19140.07	-18953.09	-186.9802	9.49156e+07	1.5773e+07	8.99452e+06	0.160863	0.155646	0.0999661	0.226041	0.100883	0.0568465	0.111749	0.0876735	0.0569908	0.0201014	0.113747	0.104386	0.20858	0.247593	0.0773647	0.213664	0.120934	0.0774185	0.0734935	0.0456033	0.019957	0.132372	0.228113	0.194805	0.109539	0.0208406	0.0165243	0.0461676	0.04377	0.0175961	0.0117508	0.0197087	0.00873501	0.0124027	0.107446	0.0118662	0.06817	0.00291763	0.00883292	0.00185038	0.0549007	0.0110912	0.0453003	0.024732	0.0182229	0.0434595	82.9697	65.7519	0.0428961	0.504842	0.452261	0.209996	0.110701	0.849591	1.1226e-07	0.465188	0.509456	3.597155
110	-19128.03	-18938.16	-189.8621	9.39636e+07	1.96764e+07	1.1224e+07	0.160863	0.149969	0.0976491	0.191846	0.0746127	0.0577568	0.0842775	0.0946277	0.0536017	0.0123392	0.117221	0.0842366	0.196362	0.241688	0.101414	0.244192	0.129697	0.076985	0.067727	0.0470656	0.0194554	0.108292	0.228113	0.234403	0.117905	0.0139088	0.0133807	0.0306477	0.0540414	0.0159078	0.00892742	0.0104967	0.00485667	0.0187807	0.113308	0.0111218	0.0709121	0.0123795	0.0083063	0.00530815	0.0543614	0.00863244	0.0442365	0.0229863	0.020181	0.0407682	76.8068	71.5899	0.0402397	0.467343	0.492417	0.206836	0.117382	0.676047	1.1226e-07	0.227538	0.464535	3.53498
120	-19132.38	-18942.31	-190.0732	8.67391e+07	1.60526e+07	1.31311e+07	0.175409	0.136186	0.0951686	0.21147	0.0874776	0.0579543	0.0884939	0.0782165	0.0628476	0.0159027	0.119975	0.0987739	0.196362	0.251097	0.0786064	0.22203	0.135377	0.0616783	0.0822454	0.0407627	0.0265943	0.127682	0.230188	0.200949	0.105781	0.0161727	0.0108803	0.0288615	0.0412443	0.0161564	0.00848073	0.0187689	0.0118953	0.0133186	0.111872	0.00881571	0.0688025	0.00645238	0.00597841	0.00750329	0.0567098	0.00187224	0.040625	0.0503381	0.0148759	0.0414023	75.4452	72.7034	0.0408656	0.459058	0.500076	0.206836	0.127056	0.912824	1.1226e-07	0.286996	0.299567	3.526852
130	-19129.7	-18943.25	-186.4452	8.05581e+07	1.70432e+07	1.3568e+07	0.152524	0.132397	0.132659	0.198792	0.0772999	0.0500535	0.102883	0.0750171	0.0453471	0.0165985	0.127264	0.103273	0.188865	0.23281	0.0814443	0.253026	0.136895	0.0754033	0.071718	0.0454714	0.0258719	0.138182	0.216514	0.23936	0.105781	0.0148675	0.00734995	0.0261941	0.0536817	0.0123752	0.00953981	0.0164724	0.0255998	0.0123661	0.104233	0.0148193	0.0575436	0.010554	0.00276511	0.00687618	0.0505991	0.00248098	0.0423471	0.0264525	0.016947	0.0434904	73.6056	74.0311	0.0429266	0.447865	0.509209	0.206836	0.137022	0.899107	1.1226e-07	0.517423	0.50457	3.539515
140	-19122.03	-18934.63	-187.4088	7.52951e+07	2.16378e+07	1.46564e+07	0.159988	0.127358	0.100172	0.18346	0.0691522	0.0493056	0.0832639	0.0890974	0.0509423	0.0250566	0.117404	0.0756022	0.19738	0.257403	0.0772776	0.233501	0.132789	0.0649973	0.0837054	0.0415938	0.0237787	0.124037	0.187651	0.210424	0.119066	0.0146096	0.00659599	0.0243513	0.0450506	0.0226049	0.00642287	0.0157761	0.00579299	0.0112987	0.117957	0.0108829	0.0605799	0.0169512	0.00454406	0.00421418	0.0551901	0.0115218	0.0510109	0.0278609	0.0225688	0.0406716	68.8348	78.6559	0.0401443	0.418836	0.541019	0.200848	0.130742	0.669904	1.1226e-07	0.675513	0.623403	3.420191
150	-19114.9	-18926.04	-188.8669	6.15617e+07	2.26894e+07	1.51885e+07	0.188181	0.157008	0.119746	0.191291	0.0829562	0.0500665	0.088129	0.100149	0.0460623	0.0206421	0.105044	0.0756022	0.213703	0.277646	0.100013	0.247587	0.133447	0.0738936	0.0854736	0.0335226	0.0302858	0.102647	0.251826	0.211642	0.114051	0.0242814	0.000653887	0.0194274	0.0491111	0.00941538	0.00309897	0.0234378	0.0153988	0.0157809	0.114498	0.00218268	0.0694633	0.0100364	0.0200821	0.00656389	0.0607965	0.0101536	0.0396635	0.0275882	0.0147411	0.03793	61.6314	85.4216	0.0374383	0.375006	0.587556	0.200848	0.0894356	0.692122	1.1226e-07	0.489954	0.569267	3.63699
160	-19113.51	-18925.34	-188.1759	5.39155e+07	2.67257e+07	1.8307e+07	0.160788	0.122863	0.10558	0.190505	0.0739002	0.0500665	0.0873575	0.0925991	0.0455117	0.0114122	0.124835	0.0822848	0.207002	0.272247	0.0885791	0.238325	0.140259	0.0639607	0.0776962	0.0336376	0.0301419	0.133939	0.218841	0.250265	0.105121	0.0170418	0.00129945	0.0242242	0.0506088	0.0126854	0.001967	0.00689691	0.0167741	0.0153146	0.1077	0.00131578	0.0748071	0.0146498	0.0143269	0.0106322	0.0609391	0.00525212	0.0457171	0.0321288	0.0192185	0.0408505	54.8858	90.9697	0.040321	0.333961	0.625718	0.200848	0.127775	0.891368	1.1226e-07	0.542293	0.595326	3.541216
170	-19118.66	-18931.82	-186.8432	4.66814e+07	2.30628e+07	1.76326e+07	0.138254	0.123953	0.105398	0.182386	0.0717445	0.0401519	0.0838494	0.0784092	0.0499373	0.0158347	0.140243	0.0760512	0.200964	0.242293	0.0878173	0.229063	0.134492	0.0681481	0.0857643	0.0376273	0.0235388	0.128005	0.238549	0.239798	0.103851	0.00486591	0.0028856	0.0338947	0.0473808	0.0126678	0.0077501	0.0196154	0.0133377	0.0115235	0.100437	0.0025613	0.0645211	0.00944201	0.00870476	0.0111519	0.0612245	0.00547017	0.0418319	0.0291818	0.0172959	0.0411691	54.0321	91.6792	0.0406354	0.328767	0.630598	0.200848	0.111837	0.692949	1.1226e-07	0.593974	0.536519	3.431869
180	-19108.05	-18923.71	-184.3358	6.18256e+07	1.92006e+07	2.45993e+07	0.141968	0.138104	0.105935	0.190547	0.0765399	0.0466306	0.0917106	0.0714669	0.0516952	0.0181996	0.0929175	0.0760512	0.179885	0.266738	0.0719102	0.231108	0.114967	0.0825064	0.0639153	0.0352506	0.0194995	0.103652	0.207259	0.20773	0.0929979	0.0167764	0.000834082	0.020981	0.0456182	0.0156523	0.00708863	0.00941124	0.0159404	0.011882	0.0925897	0.00503674	0.0631591	0.00780239	0.00999811	0.00903152	0.0484648	0.0010446	0.0331653	0.0370449	0.0159724	0.044949	58.9931	86.7482	0.0443663	0.358953	0.596681	0.200848	0.103319	1.0758	1.1226e-07	0.606982	0.48982	3.246679
190	-19110.64	-18924.15	-186.4871	7.55467e+07	2.38153e+07	2.67496e+07	0.144418	0.108503	0.115305	0.190547	0.0824804	0.0465914	0.0805147	0.0826809	0.0507932	0.0155471	0.111166	0.0712127	0.207956	0.222763	0.0686661	0.223761	0.102728	0.075292	0.0538383	0.0394078	0.0262246	0.104309	0.209961	0.218816	0.123303	0.0157885	0.00105021	0.0294348	0.0398417	0.014438	0.00081177	0.00885162	0.012377	0.0138218	0.0942247	0.00602905	0.0514838	0.0131663	0.0172837	0.00930853	0.0567237	0.000509976	0.0415152	0.0226911	0.0303839	0.0416566	64.3381	82.4924	0.0411166	0.391475	0.567408	0.199223	0.102085	0.931487	1.1226e-07	0.48829	0.735797	3.256521
