Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
100	-16205.98	-16173.24	-32.74918	7.231531e+07	0.0114081	0.0207912	0.0101199	0.0367882	0.00790158	0.00527695	0.00550588	0.0127514	0.00462237	0.00166282	0.0141359	0.00669437	0.025995	0.050071	0.00892445	0.0397228	0.0171041	0.00778632	0.00777251	0.00456811	0.00242768	0.0110935	0.0298127	0.0269425	0.00978565	0.00590156	0.00424234	0.00265768	0.00501491	0.00129815	0.00356514	0.000325751	0.00771426	0.0244767	0.0107562	0.0153187	0.00274137	0.00133042	0.0015885	0.000439358	0.00301248	0.00448429	0.0133526	0.0255397	0.010889	0.983198	0.00151935	8.60951e-05	0.000819158	0.0138509	0.000526164	0.999851	0.999961	1.00004	1.00015	0.975742	0.0155319	0.00185404	0.0068718	0.0003579085	0.524314
110	-16191.14	-16160.4	-30.7398	7.312355e+07	0.0139597	0.0167265	0.0129852	0.0351965	0.00658862	0.0043345	0.00336672	0.00884866	0.00396779	0.00168712	0.0141359	0.00418521	0.0232178	0.0465672	0.00824254	0.0353717	0.0161411	0.00732952	0.00881577	0.00456172	0.00184254	0.0101458	0.0308055	0.0226034	0.00937797	0.00695966	0.00864592	0.00329907	0.00310304	0.00276638	0.00169701	0.000186391	0.00771426	0.0247457	0.0133718	0.0169624	0.00145114	0.00103656	0.00103491	0.000875613	0.00146146	0.00609093	0.0171361	0.0321854	0.00628062	0.97473	0.0026011	0.00014859	0.00249931	0.0185646	0.00145663	0.999851	0.999962	1.00004	1.00015	0.977668	0.0149341	0.00109334	0.00630438	0.0004394428	0.5080093
120	-16156.1	-16126.1	-30.00525	8.979443e+07	0.0115332	0.0162067	0.0102712	0.0251422	0.0046871	0.00373436	0.00393265	0.00865569	0.00329994	0.00130125	0.0111802	0.00405674	0.0238243	0.0428597	0.00849373	0.0265677	0.0127919	0.00644142	0.00743036	0.00309508	0.00190964	0.0103842	0.0266269	0.0242561	0.0075592	0.00549757	0.00544275	0.00278889	0.00278178	0.00185038	0.000916402	0.000178964	0.00549977	0.0201122	0.0113856	0.0146445	0.00302406	0.000780711	0.00102941	0.000413455	0.00244848	0.00609093	0.0156027	0.0242432	0.00358103	0.977529	0.00378508	0.00011181	0.00287834	0.0127551	0.0029411	0.999866	0.999966	1.00003	1.00013	0.975115	0.0133283	0.00100473	0.0105523	0.0004394428	0.4345544
130	-16128.9	-16097.64	-31.26216	8.18225e+07	0.0134177	0.0125606	0.00941204	0.0233559	0.00408651	0.00265046	0.0029869	0.00790198	0.0044602	0.00141862	0.009769	0.00415614	0.0238243	0.0303607	0.00698608	0.0265677	0.0114409	0.00555014	0.00786158	0.00262693	0.00133825	0.00806517	0.0204539	0.0207964	0.00604468	0.00735129	0.00519678	0.00179108	0.00125314	0.00127215	0.00143185	0.00114475	0.00590131	0.0133972	0.0104588	0.0123117	0.00246304	0.000493878	0.000845214	0.00247194	0.00169388	0.00433873	0.0106341	0.0129583	0.00638892	0.992445	0.00178462	4.26914e-05	0.00136681	0.00216327	0.002198	0.99986	0.999964	1.00004	1.00014	0.974799	0.0108602	0.000761885	0.0135787	0.0003564313	0.3718907
140	-16123.24	-16092.07	-31.1682	8.391588e+07	0.0147766	0.013861	0.00905127	0.0237338	0.00335481	0.00329346	0.00503686	0.00622451	0.00303964	0.00114298	0.00800798	0.0034819	0.0168403	0.0321359	0.0074203	0.0251771	0.00944368	0.00536563	0.00586738	0.00335095	0.00180615	0.0113934	0.028698	0.0138063	0.00828219	0.00637851	0.00404466	0.00270107	0.00101525	0.000958631	0.000975478	0.000519432	0.00479011	0.0155136	0.00896098	0.0108529	0.00210127	0.00144419	0.00112782	0.00238845	0.0012007	0.00398447	0.0135335	0.0116402	0.00377084	0.973333	0.00241945	0.000176844	0.00357608	0.00814003	0.0123545	0.999861	0.999965	1.00004	1.00014	0.981425	0.0107081	0.000495101	0.0073716	0.0003564313	0.3624942
150	-16101.11	-16070.22	-30.8954	7.898618e+07	0.00802564	0.011609	0.00905127	0.0237932	0.00270608	0.00305776	0.00206769	0.00587048	0.00201802	0.00111962	0.00757391	0.00358491	0.0141687	0.0359505	0.0069453	0.022629	0.00996376	0.00586802	0.00515873	0.00268859	0.00172386	0.00899115	0.0180555	0.0200375	0.00744348	0.00504382	0.0050112	0.0034038	0.00245958	0.000715076	0.00174453	0.00052851	0.00401913	0.0133002	0.00760896	0.0108041	0.00217734	0.000857207	0.00119227	0.00133131	0.000873215	0.00367159	0.0102569	0.013943	0.00617125	0.97669	0.00121078	0.000179656	0.00228555	0.00729951	0.0123346	0.999857	0.999963	1.00004	1.00014	0.984091	0.00909981	0.000902977	0.00590634	0.0003564313	0.3352148
160	-16103.33	-16072.43	-30.89818	8.955456e+07	0.00755025	0.0138469	0.00674104	0.0197239	0.00546207	0.0024536	0.00350023	0.0062577	0.00240211	0.000981378	0.00709415	0.00341	0.00921068	0.0406161	0.00440546	0.0233722	0.00998333	0.00446905	0.00547868	0.00244685	0.00167054	0.00917026	0.0190939	0.0146211	0.00725971	0.00566646	0.00294643	0.00212017	0.00119023	0.00108638	0.000831953	0.000737652	0.00475042	0.0147097	0.0100615	0.0111709	0.00148251	0.000832134	0.000976133	0.00222809	0.00151234	0.00268459	0.0121389	0.0170364	0.0101089	0.884869	0.00628272	0.000333356	0.0152396	0.02183	0.0714453	0.999866	0.999966	1.00003	1.00013	0.983093	0.00938909	0.000110472	0.00740773	0.0003564313	0.3354929
170	-16089.92	-16059.45	-30.47656	9.094637e+07	0.00854799	0.00988787	0.0058605	0.0199211	0.00262447	0.00275148	0.00375271	0.0057919	0.0031439	0.000971149	0.00658257	0.00231686	0.00718628	0.0312383	0.00667658	0.019276	0.0077415	0.00346757	0.00544492	0.00269766	0.00154041	0.00607948	0.0189282	0.0158659	0.00686124	0.00375317	0.00294643	0.00155466	0.00126447	0.000624218	0.00154546	0.000546321	0.00323387	0.0120098	0.00890584	0.0100578	0.00185991	0.00126951	0.00118055	0.00134264	0.00170645	0.00321806	0.00961299	0.0110758	0.0104665	0.868684	0.0174573	0.000205023	0.0145978	0.0197784	0.0792775	0.999866	0.999967	1.00003	1.00013	0.988661	0.00826964	9.41804e-05	0.00297551	0.0003564313	0.2933309
180	-16080.82	-16050.31	-30.51257	8.622135e+07	0.00526942	0.0112238	0.006767	0.0183091	0.00217763	0.00181258	0.00280744	0.00509821	0.00202974	0.000804131	0.00769842	0.00321636	0.0103771	0.0295277	0.00639403	0.0204607	0.0090907	0.00466186	0.0041986	0.00224347	0.00133747	0.00693059	0.0170268	0.0147693	0.00642881	0.00440347	0.00388171	0.00246111	0.00177781	0.000813119	0.000931994	0.00166014	0.0037903	0.0122034	0.00742945	0.00918157	0.00182476	0.00094252	0.000934536	0.000698666	0.00128153	0.00385497	0.0105673	0.014799	0.012833	0.842626	0.0103896	0.000643629	0.00740452	0.0302586	0.108678	0.999863	0.999965	1.00004	1.00014	0.989076	0.00827312	9.67334e-05	0.00255437	0.0003564313	0.2969314
190	-16072.92	-16042.72	-30.19555	8.648818e+07	0.00986698	0.0109069	0.00635365	0.016209	0.00224982	0.00190029	0.00188863	0.00509821	0.00196005	0.00097105	0.00578	0.00202745	0.0114797	0.0269814	0.00429799	0.0192016	0.00685159	0.00422756	0.00429944	0.00201406	0.00101424	0.00644925	0.0156919	0.0131726	0.00518814	0.00413855	0.00430328	0.00128979	0.000768069	0.000391279	0.00144669	0.000640187	0.00342027	0.0132052	0.00753692	0.00773294	0.00139843	0.00146183	0.00117402	0.000110499	0.00166147	0.00329243	0.0105673	0.010272	0.00433721	0.893008	0.0143811	0.000609471	0.00766277	0.0210858	0.0632524	0.999863	0.999965	1.00004	1.00014	0.989763	0.00741267	5.54444e-05	0.00276866	0.0003564313	0.26523
